,ed_arrivals,wait_time_minutes,door_to_doctor_min,ed_los_minutes,admitted_from_ed,left_ama,imaging_ordered,labs_ordered,day_of_week,week_of_year,month,quarter,year,is_weekend,dow_sin,dow_cos,arrivals_lag_1,arrivals_lag_2,arrivals_lag_3,arrivals_lag_7,arrivals_lag_14,arrivals_lag_28,rolling_mean_7,rolling_std_7,rolling_mean_28,rolling_std_28,admission_rate,throughput_pressure,severity_index,avg_wait_time,avg_los,crowding_index,boarding_proxy,Emergent,Less_Urgent,Non-Urgent,Resuscitation,Urgent,Abdominal_pain,Altered_mental_status,Back_pain,Chest_pain,Drug_overdose,Fever,Headache,Hypertensive_urgency,Hypoglycemia,Laceration,Leg_swelling,Nausea_and_vomiting,Palpitations,Seizure,Shortness_of_breath,Stroke_symptoms,Syncope_/_fall,Trauma,Urinary_symptoms,Weakness,MHN_Boston_General,MHN_Cambridge,MHN_Dorchester,MHN_Fenway,MHN_Jamaica_Plain,MHN_Quincy,MHN_Roxbury_Community,MHN_South_Shore,trend_7,trend_28
2020-03-07,3,26.666666666666668,26.666666666666668,225.66666666666666,1,1,3,2,5,10,3,1,2020,1,-0.9749279121818236,-0.2225209339563146,5.0,4.0,2.0,6.0,2.0,1.0,3.4285714285714284,2.507132682112035,3.6785714285714284,2.109126050859146,0.3333333333333333,53.333333333333336,8,26.666666666666668,225.66666666666666,8.88888888888889,75.22222222222221,0,1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,2,0,-3.0,2.0
2020-03-08,5,25.2,25.6,209.6,0,0,4,1,6,10,3,1,2020,1,-0.7818314824680299,0.6234898018587334,3.0,5.0,4.0,1.0,3.0,2.0,4.0,2.3094010767585034,3.7857142857142856,2.0968608434575233,0.0,50.8,12,25.2,209.6,0.0,0.0,1,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,0,0,1,0,0,4.0,3.0
2020-03-09,3,78.0,78.0,387.6666666666667,0,0,1,1,0,11,3,1,2020,0,0.0,1.0,5.0,3.0,5.0,1.0,5.0,4.0,4.285714285714286,1.9760470401187085,3.75,2.1015867021530816,0.0,156.0,8,78.0,387.6666666666667,0.0,0.0,0,1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0,1,0,2.0,-1.0
2020-03-10,2,88.0,88.0,337.0,0,0,2,0,1,11,3,1,2020,0,0.7818314824680298,0.6234898018587336,3.0,5.0,3.0,8.0,5.0,2.0,3.4285714285714284,1.272418020560704,3.75,2.1015867021530816,0.0,176.0,6,88.0,337.0,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,1,0,-6.0,0.0
2020-03-12,3,45.333333333333336,45.333333333333336,210.66666666666666,0,1,1,1,3,11,3,1,2020,0,0.43388373911755823,-0.900968867902419,0.0,2.0,3.0,4.0,4.0,4.0,3.0,1.7320508075688772,3.6785714285714284,2.1611651766199915,0.0,90.66666666666667,9,45.333333333333336,210.66666666666666,0.0,0.0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,2,0,0,1.0,2.0
2020-03-13,6,40.666666666666664,40.666666666666664,257.0,4,0,0,0,4,11,3,1,2020,0,-0.433883739117558,-0.9009688679024191,3.0,0.0,2.0,5.0,1.0,6.0,3.142857142857143,1.9518001458970666,3.6785714285714284,2.1611651766199915,0.6666666666666666,81.33333333333333,16,40.666666666666664,257.0,27.111111111111107,171.33333333333331,1,3,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,2,0,2,1,0,1,2.0,2.0
2020-03-14,3,64.0,65.66666666666667,283.3333333333333,2,0,2,1,5,11,3,1,2020,1,-0.9749279121818236,-0.2225209339563146,6.0,3.0,0.0,3.0,6.0,4.0,3.142857142857143,1.9518001458970666,3.642857142857143,2.1639176700003357,0.6666666666666666,129.66666666666669,11,64.0,283.3333333333333,42.666666666666664,188.88888888888886,0,0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,-2.0,-3.0
2020-03-15,3,22.0,22.0,289.0,0,0,2,0,6,11,3,1,2020,1,-0.7818314824680299,0.6234898018587334,3.0,6.0,3.0,5.0,1.0,7.0,2.857142857142857,1.7728105208558367,3.5,2.0637972912229676,0.0,44.0,11,22.0,289.0,0.0,0.0,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,1,0,0,0.0,-1.0
2020-03-16,3,81.33333333333333,81.66666666666667,292.6666666666667,0,0,2,1,0,12,3,1,2020,0,0.0,1.0,3.0,3.0,6.0,3.0,1.0,3.0,2.857142857142857,1.7728105208558367,3.5,2.0637972912229676,0.0,163.0,7,81.33333333333333,292.6666666666667,0.0,0.0,0,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,1,0,-2.0,-4.0
2020-03-17,4,27.5,28.0,335.0,1,0,1,1,1,12,3,1,2020,0,0.7818314824680298,0.6234898018587336,3.0,3.0,3.0,2.0,8.0,7.0,3.142857142857143,1.772810520855837,3.392857142857143,1.9501051389373987,0.25,55.5,13,27.5,335.0,6.875,83.75,1,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,0,1,1,0,0,1,1.0,1.0
2020-03-18,4,133.25,133.5,324.5,2,0,2,2,2,12,3,1,2020,0,0.9749279121818236,-0.22252093395631434,4.0,3.0,3.0,0.0,2.0,7.0,3.7142857142857144,1.1126972805283746,3.2857142857142856,1.8228415517403922,0.5,266.75,10,133.25,324.5,66.625,162.25,0,2,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,2,1,1,2.0,-3.0
2020-03-19,2,149.5,149.5,473.5,0,0,1,0,3,12,3,1,2020,0,0.43388373911755823,-0.900968867902419,4.0,4.0,3.0,3.0,4.0,1.0,3.5714285714285716,1.2724180205607043,3.3214285714285716,1.7858201026848806,0.0,299.0,4,149.5,473.5,0.0,0.0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,0,0,0,0,0,0,-1.0,-5.0
2020-03-20,4,35.75,37.5,156.0,1,0,0,2,4,12,3,1,2020,0,-0.433883739117558,-0.9009688679024191,2.0,4.0,4.0,6.0,5.0,2.0,3.2857142857142856,0.7559289460184555,3.392857142857143,1.7709442075467494,0.25,73.25,11,35.75,156.0,8.9375,39.0,1,2,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,2,0,0,1,0,0,-2.0,3.0
2020-03-21,2,93.5,93.5,221.5,0,0,1,0,5,12,3,1,2020,1,-0.9749279121818236,-0.2225209339563146,4.0,2.0,4.0,3.0,3.0,2.0,3.142857142857143,0.8997354108424381,3.392857142857143,1.7709442075467494,0.0,187.0,6,93.5,221.5,0.0,0.0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,-1.0,0.0
2020-03-22,5,21.8,21.8,334.6,1,0,2,2,6,12,3,1,2020,1,-0.7818314824680299,0.6234898018587334,2.0,4.0,2.0,3.0,5.0,3.0,3.4285714285714284,1.1338934190276826,3.4642857142857144,1.7946864547601258,0.2,43.6,17,21.8,334.6,4.36,66.92,1,1,1,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,1,1,0,0,2.0,3.0
2020-03-23,6,95.83333333333333,95.83333333333333,326.1666666666667,2,0,5,2,0,13,3,1,2020,0,0.0,1.0,5.0,2.0,4.0,3.0,3.0,5.0,3.857142857142857,1.4638501094228007,3.5,1.8358568490953668,0.3333333333333333,191.66666666666666,19,95.83333333333333,326.1666666666667,31.944444444444443,108.72222222222223,1,0,0,0,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3,0,0,1,1,0,3.0,3.0
2020-03-24,1,25.0,25.0,373.0,0,0,1,0,1,13,3,1,2020,0,0.7818314824680298,0.6234898018587336,6.0,5.0,2.0,4.0,2.0,5.0,3.4285714285714284,1.8126539343499317,3.357142857142857,1.8701215194084302,0.0,50.0,5,25.0,373.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,-3.0,-4.0
2020-03-25,1,5.0,5.0,302.0,1,0,1,0,2,13,3,1,2020,0,0.9749279121818236,-0.22252093395631434,1.0,6.0,5.0,4.0,0.0,3.0,3.0,2.0,3.2857142857142856,1.9217496437157706,1.0,10.0,5,5.0,302.0,5.0,302.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,-3.0,-4.0
2020-03-26,6,38.833333333333336,39.5,254.16666666666666,1,1,5,2,3,13,3,1,2020,0,0.43388373911755823,-0.900968867902419,1.0,1.0,6.0,2.0,3.0,4.0,3.5714285714285716,2.2253945610567474,3.357142857142857,1.9853964193074742,0.16666666666666666,78.33333333333334,15,38.833333333333336,254.16666666666666,6.472222222222222,42.36111111111111,1,0,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,1,2,0,1,0,1,4.0,3.0
2020-03-27,1,139.0,139.0,347.0,0,0,0,0,4,13,3,1,2020,0,-0.433883739117558,-0.9009688679024191,6.0,1.0,1.0,4.0,6.0,1.0,3.142857142857143,2.410295378065479,3.357142857142857,1.9853964193074742,0.0,278.0,3,139.0,347.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,-3.0,-3.0
2020-03-28,6,56.833333333333336,56.833333333333336,316.3333333333333,2,0,5,2,5,13,3,1,2020,1,-0.9749279121818236,-0.2225209339563146,1.0,6.0,1.0,2.0,3.0,6.0,3.7142857142857144,2.5634797778466236,3.357142857142857,1.9853964193074742,0.3333333333333333,113.66666666666667,19,56.833333333333336,316.3333333333333,18.944444444444443,105.44444444444443,2,1,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,2,0,3,0,4.0,5.0
2020-03-29,4,115.25,115.25,447.0,1,0,2,4,6,13,3,1,2020,1,-0.7818314824680299,0.6234898018587334,6.0,1.0,6.0,5.0,3.0,1.0,3.5714285714285716,2.507132682112035,3.4642857142857144,1.9337574794730563,0.25,230.5,12,115.25,447.0,28.8125,111.75,1,1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,0,0,0,1,0,-1.0,-2.0
2020-03-30,4,43.5,44.75,283.5,2,0,2,1,0,14,3,1,2020,0,0.0,1.0,4.0,6.0,1.0,6.0,3.0,1.0,3.2857142857142856,2.2886885410853175,3.5714285714285716,1.8743605611587946,0.5,88.25,13,43.5,283.5,21.75,141.75,2,1,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,1,1,1,0,-2.0,3.0
2020-03-31,3,41.333333333333336,41.333333333333336,285.6666666666667,0,0,2,1,1,14,3,1,2020,0,0.7818314824680298,0.6234898018587336,4.0,4.0,6.0,1.0,4.0,8.0,3.5714285714285716,2.0701966780270635,3.392857142857143,1.6630914033428872,0.0,82.66666666666667,7,41.333333333333336,285.6666666666667,0.0,0.0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0,0,2.0,2.0
2020-04-01,3,29.666666666666668,29.666666666666668,223.66666666666666,0,0,3,1,2,14,4,2,2020,0,0.9749279121818236,-0.22252093395631434,3.0,4.0,4.0,1.0,4.0,2.0,3.857142857142857,1.7728105208558376,3.4285714285714284,1.6426846010152698,0.0,59.333333333333336,7,29.666666666666668,223.66666666666666,0.0,0.0,0,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,2.0,-5.0
2020-04-02,5,53.4,53.4,234.2,1,0,3,3,3,14,4,2,2020,0,0.43388373911755823,-0.900968867902419,3.0,3.0,4.0,6.0,2.0,4.0,3.7142857142857144,1.6035674514745473,3.4642857142857144,1.6662697940174709,0.2,106.8,12,53.4,234.2,10.68,46.84,0,1,1,0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,1,1,1,1,1,0,0,-1.0,3.0
2020-04-03,2,65.5,65.5,205.0,1,0,1,1,4,14,4,2,2020,0,-0.433883739117558,-0.9009688679024191,5.0,3.0,3.0,1.0,4.0,5.0,3.857142857142857,1.3451854182690999,3.357142857142857,1.6603053202991775,0.5,131.0,6,65.5,205.0,32.75,102.5,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,1,0,0,0,1.0,-2.0
2020-04-04,3,49.0,49.0,287.0,1,0,0,2,5,14,4,2,2020,1,-0.9749279121818236,-0.2225209339563146,2.0,5.0,3.0,6.0,2.0,3.0,3.4285714285714284,0.9759000729485344,3.357142857142857,1.6603053202991775,0.3333333333333333,98.0,9,49.0,287.0,16.333333333333332,95.66666666666666,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0,0,-3.0,-2.0
2020-04-05,4,152.0,152.0,377.0,1,0,2,1,6,14,4,2,2020,1,-0.7818314824680299,0.6234898018587334,3.0,2.0,5.0,4.0,5.0,5.0,3.4285714285714284,0.9759000729485344,3.3214285714285716,1.6342077348473536,0.25,304.0,12,152.0,377.0,38.0,94.25,1,1,0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,1,0,0,0,0.0,1.0
2020-04-06,2,21.5,21.5,369.5,1,0,0,0,0,15,4,2,2020,0,0.0,1.0,4.0,3.0,2.0,4.0,6.0,3.0,3.142857142857143,1.0690449676496985,3.2857142857142856,1.6523191974188063,0.5,43.0,7,21.5,369.5,10.75,184.75,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,-2.0,-3.0
2020-04-08,2,100.0,100.0,237.5,0,0,2,1,2,15,4,2,2020,0,0.9749279121818236,-0.22252093395631434,0.0,2.0,4.0,3.0,1.0,0.0,2.5714285714285716,1.6183471874253743,3.2857142857142856,1.6523191974188063,0.0,200.0,5,100.0,237.5,0.0,0.0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,-1.0,-1.0
2020-04-09,3,125.66666666666667,125.66666666666667,313.3333333333333,0,0,0,1,3,15,4,2,2020,0,0.43388373911755823,-0.900968867902419,2.0,0.0,2.0,5.0,6.0,3.0,2.2857142857142856,1.2535663410560176,3.2857142857142856,1.6523191974188063,0.0,251.33333333333334,11,125.66666666666667,313.3333333333333,0.0,0.0,2,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0,0,0,1,0.0,1.0
2020-04-10,2,29.5,32.0,146.0,0,0,2,1,4,15,4,2,2020,0,-0.433883739117558,-0.9009688679024191,3.0,2.0,0.0,2.0,1.0,6.0,2.2857142857142856,1.2535663410560176,3.142857142857143,1.5803020272576047,0.0,61.5,5,29.5,146.0,0.0,0.0,0,1,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,-3.0,-1.0
2020-04-11,3,57.666666666666664,58.333333333333336,335.0,1,0,2,0,5,15,4,2,2020,1,-0.9749279121818236,-0.2225209339563146,2.0,3.0,2.0,3.0,6.0,3.0,2.2857142857142856,1.2535663410560176,3.142857142857143,1.5803020272576047,0.3333333333333333,116.0,8,57.666666666666664,335.0,19.22222222222222,111.66666666666666,0,1,0,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,1,1.0,-3.0
2020-04-12,3,73.0,73.0,255.33333333333334,1,0,1,1,6,15,4,2,2020,1,-0.7818314824680299,0.6234898018587334,3.0,2.0,3.0,4.0,4.0,3.0,2.142857142857143,1.0690449676496978,3.142857142857143,1.5803020272576047,0.3333333333333333,146.0,9,73.0,255.33333333333334,24.333333333333332,85.11111111111111,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,1,0,0,0.0,0.0
2020-04-13,3,154.33333333333334,154.33333333333334,394.0,1,1,1,0,0,16,4,2,2020,0,0.0,1.0,3.0,3.0,2.0,2.0,4.0,3.0,2.2857142857142856,1.112697280528374,3.142857142857143,1.5803020272576047,0.3333333333333333,308.6666666666667,9,154.33333333333334,394.0,51.44444444444444,131.33333333333331,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1,0,-1.0,0.0
2020-04-14,3,69.33333333333333,69.33333333333333,212.33333333333334,1,1,0,0,1,16,4,2,2020,0,0.7818314824680298,0.6234898018587336,3.0,3.0,3.0,0.0,3.0,4.0,2.7142857142857144,0.4879500364742678,3.107142857142857,1.571488695338505,0.3333333333333333,138.66666666666666,9,69.33333333333333,212.33333333333334,23.111111111111107,70.77777777777777,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,1,1.0,0.0
2020-04-15,1,59.0,59.0,430.0,0,0,0,0,2,16,4,2,2020,0,0.9749279121818236,-0.22252093395631434,3.0,3.0,3.0,2.0,3.0,4.0,2.5714285714285716,0.7867957924694439,3.0,1.6101529717988257,0.0,118.0,3,59.0,430.0,0.0,0.0,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,-1.0,-3.0
